카테고리: 모든 카테고리

주,에버랜드: (대한민국),어린이대공원: (대한민국),서울대공원: (대한민국),롯데월드: (대한민국),서울랜드: (대한민국)
2020-07-19,15,3,2,19,3
2020-07-26,22,2,2,24,4
2020-08-02,16,2,4,21,4
2020-08-09,19,3,3,24,3
2020-08-16,19,2,3,21,4
2020-08-23,13,2,1,12,2
2020-08-30,10,3,2,11,1
2020-09-06,11,3,2,11,2
2020-09-13,17,2,4,11,3
2020-09-20,17,3,3,14,3
2020-09-27,22,3,5,21,6
2020-10-04,22,3,6,16,5
2020-10-11,21,2,4,18,5
2020-10-18,27,4,4,20,7
2020-10-25,30,3,4,30,5
2020-11-01,22,2,2,21,3
2020-11-08,20,3,4,21,3
2020-11-15,16,2,2,15,3
2020-11-22,13,2,1,13,2
2020-11-29,12,1,1,11,3
2020-12-06,12,1,1,11,3
2020-12-13,10,2,1,11,1
2020-12-20,16,1,2,12,1
2020-12-27,13,<1,1,13,3
2021-01-03,11,<1,1,11,1
2021-01-10,13,1,<1,12,2
2021-01-17,12,1,3,12,4
2021-01-24,14,2,1,14,3
2021-01-31,12,1,2,14,2
2021-02-07,18,2,3,17,3
2021-02-14,13,2,2,20,2
2021-02-21,19,3,3,21,3
2021-02-28,12,3,2,19,3
2021-03-07,15,2,2,20,3
2021-03-14,17,3,2,17,3
2021-03-21,19,3,1,16,5
2021-03-28,18,4,3,19,3
2021-04-04,26,4,3,25,5
2021-04-11,24,4,3,21,4
2021-04-18,27,3,3,21,4
2021-04-25,26,3,4,19,3
2021-05-02,36,5,4,33,10
2021-05-09,27,3,4,24,3
2021-05-16,29,4,3,26,3
2021-05-23,33,1,3,23,6
2021-05-30,25,1,3,23,4
2021-06-06,21,2,3,22,5
2021-06-13,23,4,4,26,3
2021-06-20,25,2,3,34,5
2021-06-27,28,3,2,38,3
2021-07-04,17,3,2,26,3
2021-07-11,14,1,2,18,4
2021-07-18,11,1,1,20,4
2021-07-25,15,2,1,24,2
2021-08-01,16,1,4,27,5
2021-08-08,16,2,3,24,3
2021-08-15,20,2,2,25,4
2021-08-22,18,2,2,19,3
2021-08-29,14,1,2,17,3
2021-09-05,27,2,2,22,3
2021-09-12,31,3,3,32,5
2021-09-19,30,3,3,36,8
2021-09-26,31,1,3,28,5
2021-10-03,27,2,3,27,6
2021-10-10,29,2,2,29,5
2021-10-17,29,2,3,39,4
2021-10-24,39,2,4,44,5
2021-10-31,31,3,4,38,5
2021-11-07,25,4,2,37,4
2021-11-14,25,3,1,36,3
2021-11-21,27,2,1,35,3
2021-11-28,26,2,2,39,4
2021-12-05,22,1,2,34,3
2021-12-12,18,1,2,30,2
2021-12-19,23,1,2,40,3
2021-12-26,17,3,<1,31,4
2022-01-02,23,2,2,35,6
2022-01-09,19,2,2,40,5
2022-01-16,17,2,2,36,4
2022-01-23,23,3,2,33,7
2022-01-30,19,3,1,41,8
2022-02-06,18,2,2,28,4
2022-02-13,15,2,1,30,4
2022-02-20,14,2,2,26,3
2022-02-27,17,1,1,26,2
2022-03-06,18,2,2,27,3
2022-03-13,16,1,1,29,3
2022-03-20,20,3,3,39,3
2022-03-27,34,3,5,45,5
2022-04-03,41,5,8,58,8
2022-04-10,38,5,5,55,7
2022-04-17,59,4,3,55,10
2022-04-24,55,7,5,90,10
2022-05-01,77,10,5,100,16
2022-05-08,50,5,6,53,8
2022-05-15,49,5,7,49,8
2022-05-22,45,5,5,46,8
2022-05-29,55,4,6,60,10
2022-06-05,42,4,3,47,13
2022-06-12,42,4,5,53,8
2022-06-19,42,4,2,53,6
2022-06-26,35,3,2,54,5
